Platform,Retweets,Likes,Country,Hour,Hashtag_1,Hashtag_2,Sentiment_Group,Part_of_Day
Instagram,30,60, USA ,10,Gratitude,CommunitySupport,Positive,Morning
Facebook,22,45, Canada    ,19,Hope,BusinessVenture,Positive,Evening
Twitter,15,30, UK       ,8,Empowerment,Mentorship,Positive,Morning
Instagram,18,35, Australia ,14,Compassion,CommunityKindness,Positive,Afternoon
Facebook,25,50, UK          ,19,Tenderness,LoveNote,Positive,Evening
Twitter,20,40, India    ,9,Arousal,TravelAdventure,Other,Morning
Instagram,15,30, USA       ,16,Enthusiasm,ArtisticProject,Positive,Evening
Facebook,22,45, Canada    ,18,Fulfillment,HelpingOthers,Positive,Evening
Twitter,18,35, Australia ,15,Reverence,HistoricalSite,Calm,Afternoon
Instagram,25,50, UK           ,10,Elation,FitnessMilestone,Positive,Morning
Facebook,15,30, USA       ,11,Euphoria,ProductLaunchSuccess,Positive,Morning
Twitter,30,60, India    ,20,Contentment,Love,Positive,Night
Instagram,22,45, Canada     ,18,Serenity,SunsetViews,Positive,Evening
Facebook,15,30, Australia   ,11,Gratitude,SmallJoys,Positive,Morning
Twitter,18,35, UK       ,16,Hope,PersonalDevelopment,Positive,Evening
Instagram,25,50, India   ,13,Empowerment,SkillBuilding,Positive,Afternoon
Facebook,18,35, USA      ,14,Compassion,VolunteerWork,Positive,Afternoon
Twitter,25,50, Canada   ,19,Tenderness,PetLove,Positive,Evening
Instagram,20,40, UK ,11,Arousal,FestivalExcitement,Other,Morning
Facebook,15,30, Australia   ,16,Enthusiasm,HomeImprovement,Positive,Evening
Twitter,22,45, India    ,18,Fulfillment,PuzzleChallenge,Positive,Evening
Instagram,18,35, USA        ,15,Reverence,NatureExploration,Calm,Afternoon
Facebook,25,50, Canada      ,9,Elation,FriendshipReunion,Positive,Morning
Twitter,5,10, USA          ,8,Despair,Struggle,Negative,Morning
Instagram,8,15, Canada          ,15,Grief,Loss,Negative,Afternoon
Facebook,10,20, UK           ,21,Loneliness,Isolation,Negative,Night
Twitter,12,25, India        ,11,Jealousy,Envy,Negative,Morning
Instagram,7,15, Australia     ,14,Resentment,Bitterness,Negative,Afternoon
Facebook,10,20, USA          ,16,Frustration,Obstacles,Negative,Evening
Twitter,8,15, Canada        ,19,Boredom,LackOfInterest,Neutral,Evening
Instagram,12,25, UK           ,9,Anxiety,Worry,Negative,Morning
Facebook,15,30, India        ,18,Intimidation,Fear,Other,Evening
Twitter,8,15, Australia    ,14,Helplessness,Overwhelmed,Negative,Afternoon
Instagram,10,20, Canada        ,11,Envy,Desire,Negative,Morning
Facebook,12,25, UK           ,16,Regret,MissedChances,Negative,Evening
Twitter,7,15, India        ,9,Disgust,Injustice,Negative,Morning
Instagram,10,20, USA          ,20,Despair,Hopeless,Negative,Night
Facebook,12,25, Canada        ,15,Grief,Tears,Negative,Afternoon
Twitter,15,30, UK            ,18,Loneliness,SeekingConnection,Negative,Evening
Instagram,8,15, India         ,16,Jealousy,Insecurity,Negative,Evening
Facebook,10,20, Australia    ,12,Resentment,BrokenTrust,Negative,Afternoon
Twitter,12,25, USA          ,14,Frustration,EmotionalOutburst,Negative,Afternoon
Instagram,7,15, Canada        ,19,Boredom,Monotony,Neutral,Evening
Facebook,10,20, UK            ,9,Anxiety,Restlessness,Negative,Morning
Twitter,15,30, India         ,18,Intimidation,FacingFear,Other,Evening
Instagram,8,15, Australia    ,14,Helplessness,Struggling,Negative,Afternoon
Facebook,10,20, Canada        ,11,Envy,Success,Negative,Morning
Twitter,12,25, USA          ,16,Regret,PastChoices,Negative,Evening
Instagram,7,15, UK            ,9,Disgust,Corruption,Negative,Morning
Facebook,10,20, India         ,20,Despair,DarkDays,Negative,Night
Twitter,12,25, Canada        ,15,Grief,EmotionalStorm,Negative,Afternoon
Instagram,15,30, Australia     ,18,Loneliness,YearningForConnection,Negative,Evening
Facebook,8,15, USA           ,16,Jealousy,Resentment,Negative,Evening
Twitter,10,20, India         ,12,Resentment,Unforgiving,Negative,Afternoon
Instagram,12,25, UK            ,14,Frustration,EmotionalOutburst,Negative,Afternoon
Facebook,7,15, Canada        ,19,Boredom,Stagnation,Neutral,Evening
Twitter,15,30, USA          ,10,Curiosity,Learning,Curiosity,Morning
Instagram,7,15, Canada          ,17,Indifference,DigitalOverload,Neutral,Evening
Facebook,10,20, UK           ,9,Confusion,LifePuzzle,Mixed,Morning
Twitter,8,15, India        ,14,Numbness,EmotionalShield,Neutral,Afternoon
Instagram,12,25, Australia     ,20,Melancholy,SunsetMoments,Negative,Night
Facebook,10,20, USA          ,15,Nostalgia,MemoryLane,Mixed,Afternoon
Twitter,12,25, Canada        ,11,Ambivalence,UncertainChoices,Mixed,Morning
Instagram,15,30, UK           ,16,Acceptance,LifeJourney,Positive,Evening
Facebook,10,20, India        ,13,Determination,AchieveTheImpossible,Other,Afternoon
Twitter,12,25, Australia    ,19,Serenity,NatureRetreat,Positive,Evening
Instagram,20,40, USA          ,8,Curiosity,KnowledgeQuest,Curiosity,Morning
Facebook,10,20, Canada        ,16,Indifference,FloatingThroughLife,Neutral,Evening
Twitter,15,30, UK            ,11,Confusion,ThoughtLabyrinth,Mixed,Morning
Instagram,8,15, Australia     ,14,Numbness,StoicFacade,Neutral,Afternoon
Facebook,12,25, India         ,19,Melancholy,WhispersInTheBreeze,Negative,Evening
Twitter,10,20, Canada        ,15,Nostalgia,JournalMoments,Mixed,Afternoon
Instagram,12,25, UK            ,10,Ambivalence,ConflictingFeelings,Mixed,Morning
Facebook,15,30, Australia    ,16,Acceptance,SelfLoveJourney,Positive,Evening
Twitter,18,35, USA          ,13,Determination,DreamsIntoReality,Other,Afternoon
Instagram,25,50, Canada        ,19,Serenity,OceanRetreat,Positive,Evening
Facebook,22,45, India         ,8,Curiosity,NewHorizons,Curiosity,Morning
Twitter,9,18, UK            ,17,Indifference,DriftingThroughLife,Neutral,Evening
Instagram,14,28, Australia    ,12,Confusion,PerplexedMind,Mixed,Afternoon
Facebook,10,20, USA          ,15,Numbness,EmotionalShield,Neutral,Afternoon
Twitter,13,26, Canada        ,21,Melancholy,WistfulHeart,Negative,Night
Instagram,12,25, India         ,14,Nostalgia,YearbookMemories,Mixed,Afternoon
Facebook,15,30, Australia    ,11,Ambivalence,ShadesOfUncertainty,Mixed,Morning
Twitter,18,36, Canada        ,16,Acceptance,ImperfectJourney,Positive,Evening
Instagram,20,40, UK            ,14,Determination,UnparalleledHeights,Other,Afternoon
Facebook,25,50, USA          ,18,Serenity,NatureWhispers,Positive,Evening
Instagram,9,18, India         ,16,Indifference,SilentObserver,Neutral,Evening
Facebook,14,28, Australia    ,11,Confusion,ThoughtLabyrinth,Mixed,Morning
Twitter,11,22, UK            ,14,Numbness,StoicResilience,Neutral,Afternoon
Instagram,13,26, USA          ,20,Melancholy,BittersweetMemories,Negative,Night
Facebook,12,25, Canada        ,15,Nostalgia,DiaryJourney,Mixed,Afternoon
Twitter,15,30, India         ,10,Ambivalence,ConflictingEmotions,Mixed,Morning
Instagram,18,36, Australia     ,16,Acceptance,BeautifulChaos,Positive,Evening
Facebook,20,40, USA          ,13,Determination,ExtraordinaryPath,Other,Afternoon
Twitter,25,50, Canada        ,19,Serenity,RaindropMelody,Positive,Evening
Instagram,22,45, UK            ,8,Curiosity,SeekerOfKnowledge,Curiosity,Morning
Facebook,9,18, India         ,17,Indifference,DriftingThroughLife,Neutral,Evening
Twitter,14,28, Australia    ,12,Confusion,LabyrinthOfThoughts,Mixed,Afternoon
Instagram,10,20, Canada        ,15,Numbness,EmotionalStorms,Neutral,Afternoon
Facebook,13,26, UK            ,21,Melancholy,WistfulYearning,Negative,Night
Twitter,12,25, USA          ,14,Nostalgia,PhotoAlbumStories,Mixed,Afternoon
Instagram,15,30, Canada        ,11,Ambivalence,CrossroadsConfusion,Mixed,Morning
Facebook,18,36, Australia    ,16,Acceptance,UnpredictableArt,Positive,Evening
Twitter,20,40, UK            ,14,Determination,SculptingDreams,Other,Afternoon
Instagram,25,50, USA          ,19,Serenity,MoonlitPeace,Positive,Evening
Facebook,22,44, India         ,9,Curiosity,FearlessExplorer,Curiosity,Morning
Instagram,10,20, Canada ,15,Numbness,EmotionalStorms,Neutral,Afternoon
Twitter,15,30, USA ,17,Zest,CarefreeSpirit,Excitement,Evening
Facebook,18,36, Australia ,20,Contentment,GoldenGlow,Positive,Night
Instagram,12,24, India ,8,Hopeful,CanvasOfDreams,Positive,Morning
Twitter,25,50, Canada ,12,Proud,BranchesOfAchievement,Positive,Afternoon
Facebook,20,40, USA ,9,Grateful,BlossomingConnection,Positive,Morning
Instagram,15,30, UK ,14,Empathetic,TapestryOfUnderstanding,Positive,Afternoon
Twitter,18,36, Australia ,10,Compassionate,ShowerOfEmpathy,Positive,Morning
Facebook,22,44, Canada ,18,Playful,DanceInTheRain,Positive,Evening
Instagram,20,40, India ,11,FreeSpirit,PaintingTheSky,Other,Morning
Twitter,15,30, UK ,16,Inspired,CreativePhoenix,Positive,Evening
Facebook,12,24, USA ,7,Hopeful,SunriseOfPossibilities,Positive,Early Morning
Instagram,25,50, Australia ,13,Confident,FootprintsOfAssuredness,Positive,Afternoon
Twitter,13,26, Canada ,22,Serenity,MoonlitSerenade,Positive,Night
Instagram,17,34, USA ,14,Curiosity,LabyrinthOfQuestions,Curiosity,Afternoon
Facebook,14,28, UK ,10,Ambivalence,AutumnWaltz,Mixed,Morning
Twitter,19,38, Australia ,19,Grateful,GuidingStar,Positive,Evening
Instagram,16,32, India ,16,Zest,FieldsOfEnthusiasm,Excitement,Evening
Facebook,21,42, Canada ,12,Compassionate,TearsOfEmpathy,Positive,Afternoon
Twitter,23,46, USA ,8,Proud,ScalingPeaks,Positive,Morning
Instagram,14,28, UK ,6,Hopeful,SeedsOfOptimism,Positive,Early Morning
Facebook,24,48, Australia ,17,Playful,CarnivalEscapade,Positive,Evening
Twitter,18,36, India ,14,Inspired,CloudsOfCreativity,Positive,Afternoon
Instagram,20,40, Canada ,9,Contentment,TranquilWaters,Positive,Morning
Facebook,16,32, USA ,21,Empathetic,LanternOfCompassion,Positive,Night
Twitter,22,44, UK ,10,FreeSpirit,WingsOfDreams,Other,Morning
Instagram,19,38, Australia ,18,Grateful,GoldenHues,Positive,Evening
Facebook,23,46, Canada ,13,Confident,DanceOfLife,Positive,Afternoon
Twitter,15,30, India ,7,Hopeful,BrighterTomorrows,Positive,Early Morning
Instagram,25,50, USA ,15,Playful,JugglingResponsibilities,Positive,Afternoon
Facebook,14,28, UK ,20,Inspired,TalesToTheStars,Positive,Night
Twitter,17,34, Australia ,11,Hopeful,SailorOfDreams,Positive,Morning
Instagram,21,42, Canada ,12,Compassionate,TearsOfEmpathy,Positive,Afternoon
Twitter,23,46, USA ,8,Proud,ScalingPeaks,Positive,Morning
Instagram,14,28, UK ,6,Hopeful,SeedsOfOptimism,Positive,Early Morning
Facebook,24,48, Australia ,17,Playful,CarnivalEscapade,Positive,Evening
Twitter,18,36, India ,14,Inspired,CloudsOfCreativity,Positive,Afternoon
Instagram,20,40, Canada ,9,Contentment,TranquilWaters,Positive,Morning
Facebook,16,32, USA ,21,Empathetic,LanternOfCompassion,Positive,Night
Twitter,22,44, UK ,10,FreeSpirit,WingsOfDreams,Other,Morning
Instagram,19,38, Australia ,18,Grateful,GoldenHues,Positive,Evening
Facebook,23,46, Canada ,13,Confident,DanceOfLife,Positive,Afternoon
Twitter,15,30, India ,7,Hopeful,BrighterTomorrows,Positive,Early Morning
Instagram,25,50, USA ,15,Playful,JugglingResponsibilities,Positive,Afternoon
Facebook,14,28, UK ,20,Inspired,TalesToTheStars,Positive,Night
Twitter,17,34, Australia ,11,Hopeful,SailorOfDreams,Positive,Morning
Instagram,21,42, Canada ,12,Compassionate,TearsOfEmpathy,Positive,Afternoon
Twitter,23,46, USA ,8,Proud,ScalingPeaks,Positive,Morning
Instagram,14,28, India ,6,Hopeful,SeedsOfOptimism,Positive,Early Morning
Facebook,24,48, Australia ,17,Playful,CarnivalEscapade,Positive,Evening
Instagram,8,16, Canada ,16,Despair,EchoingSilence,Negative,Evening
Facebook,12,24, UK ,14,Bitterness,ResentmentWeb,Negative,Afternoon
Twitter,15,30, USA ,11,Loneliness,MiragesOfConnection,Negative,Morning
Instagram,10,20, Australia ,19,Yearning,DistantWarmth,Mixed,Evening
Facebook,18,36, India ,2,Fearful,ImaginedHorrors,Negative,Late Night
Twitter,14,28, UK ,13,Apprehensive,BalancingAct,Negative,Afternoon
Instagram,22,44, Canada ,17,Overwhelmed,BouldersOfExhaustion,Mixed,Evening
Facebook,16,32, USA ,10,Jealous,GreenEyedMonster,Negative,Morning
Twitter,25,50, Australia ,15,Devastated,WindsOfBrokenPromises,Negative,Afternoon
Instagram,12,24, India ,9,Frustrated,UnsolvablePuzzle,Negative,Morning
Facebook,20,40, USA ,22,Envious,GildedPrize,Negative,Night
Twitter,14,28, UK ,14,Dismissive,ImpenetrableWalls,Neutral,Afternoon
Instagram,15,30, Canada ,11,Frustrated,MosaicOfDisappointment,Negative,Morning
Facebook,18,36, Australia ,3,Loneliness,SolitaryNocturne,Negative,Late Night
Twitter,13,26, UK ,23,Fearful,SpecterOfTheUnknown,Negative,Night
Instagram,10,20, India ,16,Bitterness,BitterAftertaste,Negative,Evening
Facebook,20,40, USA ,8,Overwhelmed,DrowningSoul,Mixed,Morning
Twitter,16,32, Australia ,17,Jealous,HeartOfDiscontent,Negative,Evening
Instagram,25,50, Canada ,14,Devastated,ShatteredTrust,Negative,Afternoon
Facebook,14,28, UK ,12,Frustrated,SlippingThreads,Negative,Afternoon
Twitter,20,40, USA ,19,Envious,BitterPill,Negative,Evening
Instagram,12,24, Australia ,14,Dismissive,IndifferencePerformance,Neutral,Afternoon
Facebook,8,16, Canada ,21,Despair,LabyrinthOfHopelessness,Negative,Night
Twitter,15,30, UK ,10,Bitterness,IciclesOfResentment,Negative,Morning
Instagram,18,36, USA ,18,Loneliness,StarlessSky,Negative,Evening
Facebook,10,20, Australia ,16,Yearning,HuesOfSunset,Mixed,Evening
Twitter,18,36, India ,3,Fearful,LurkingMonsters,Negative,Late Night
Instagram,14,28, Canada ,10,Apprehensive,StormOfDoubt,Negative,Morning
Facebook,22,44, USA ,15,Overwhelmed,MinotaurOfPressure,Mixed,Afternoon
Twitter,16,32, UK ,14,Jealous,BloomingAchievements,Negative,Afternoon
Instagram,25,50, Australia ,11,Devastated,EchoesOfShatteredDreams,Negative,Morning
Facebook,14,28, India ,12,Frustrated,LabyrinthOfMiscommunication,Negative,Afternoon
Twitter,20,40, USA ,22,Envious,DesireForKeys,Negative,Night
Instagram,12,24, Australia ,14,Dismissive,IndifferencePerformance,Neutral,Afternoon
Twitter,15,30, Canada ,11,Frustrated,MosaicOfDisappointment,Negative,Morning
Facebook,18,36, Australia ,3,Loneliness,SolitaryNocturne,Negative,Late Night
Instagram,28,55, USA               ,6,Awe,BreathtakingSunrise,Positive,Early Morning
Twitter,15,30, Canada            ,10,Determination,Challenges,Other,Morning
Facebook,22,45, UK                ,19,Nostalgia,OldMemories,Mixed,Evening
Instagram,40,80, India              ,14,Thrill,CulturalCelebration,Excitement,Afternoon
Twitter,18,35, Australia          ,21,Calmness,RainyDays,Positive,Night
Facebook,25,50, USA               ,17,Overwhelmed,SupportiveCommunity,Mixed,Evening
Instagram,30,60, France            ,12,Excitement,VacationCountdown,Positive,Afternoon
Twitter,35,70, Brazil            ,8,Gratitude,LifeLessons,Positive,Morning
Instagram,20,40, Japan             ,18,Bittersweet,Farewell,Mixed,Evening
Facebook,18,35, Greece            ,15,Curiosity,AncientDiscovery,Curiosity,Afternoon
Instagram,25,50, USA               ,16,Admiration,HandcraftedArt,Positive,Evening
Twitter,18,35, Canada            ,19,Overjoyed,WinterWarmth,Excitement,Evening
Instagram,30,60, UK                ,20,Inspiration,ColorfulSunset,Positive,Night
Facebook,40,80, Australia          ,7,Motivation,FitnessGoals,Positive,Early Morning
Twitter,22,45, India             ,8,Gratitude,MorningCoffee,Positive,Morning
Instagram,35,70, USA               ,14,Empowerment,HikingAdventure,Positive,Afternoon
Facebook,15,30, Canada            ,12,Amusement,PlayfulKittens,Positive,Afternoon
Twitter,28,55, UK                ,23,Contemplation,StarryNight,Calm,Night
Instagram,20,40, India             ,17,JoyfulReunion,Friendship,Excitement,Evening
Facebook,30,60, Australia          ,15,Excitement,SurpriseCelebration,Positive,Afternoon
Twitter,25,50, USA               ,11,Satisfaction,DIYProject,Positive,Morning
Instagram,18,35, UK                ,9,Blessed,SupportiveCommunity,Positive,Morning
Facebook,22,45, Canada            ,14,Serenity,TranquilGarden,Positive,Afternoon
Twitter,40,80, India             ,10,Anticipation,AdventureAwaits,Curiosity,Morning
Instagram,35,70, USA               ,18,Reflection,PersonalGrowth,Calm,Evening
Facebook,20,40, Australia          ,21,Nostalgia,ChildhoodFavorites,Mixed,Night
Twitter,28,55, UK                ,13,Appreciation,CulturalExperience,Positive,Afternoon
Instagram,15,30, USA               ,17,Confidence,OvercomingAnxiety,Positive,Evening
Facebook,25,50, Canada            ,19,Contentment,FamilyLaughter,Positive,Evening
Twitter,30,60, India             ,12,Enthusiasm,SkillBuilding,Positive,Afternoon
Instagram,18,35, UK                ,16,Surprise,HiddenGem,Curiosity,Evening
Facebook,22,45, Australia          ,7,Accomplishment,FitnessSuccess,Positive,Early Morning
Twitter,35,70, USA               ,18,Wonderment,DoubleRainbow,Curiosity,Evening
Instagram,20,40, Canada            ,9,Optimism,BrightFuture,Positive,Morning
Facebook,28,55, UK                ,14,Pride,CareerMilestone,Positive,Afternoon
Twitter,15,30, India             ,11,Happiness,SunnyDay,Positive,Morning
Instagram,40,80, USA               ,16,Elation,RareBookDiscovery,Positive,Evening
